2026-07-23 10:52:37 | INFO | BI |   fact_sales created.
2026-07-23 10:52:37 | INFO | BI | CALL a function to verify the schema........
2026-07-23 10:52:37 | INFO | BI | PASS IN conn: the DuckDB connection object
2026-07-23 10:52:37 | INFO | BI | START verify warehouse schema....
2026-07-23 10:52:37 | INFO | BI | SHOW TABLES returns a list of all tables in the database
2026-07-23 10:52:37 | INFO | BI | - Calling .fetchall() on the result of SHOW TABLES
2026-07-23 10:52:37 | INFO | BI | - Gets the result - we can store it in a variable named 'tables'
2026-07-23 10:52:37 | INFO | BI |   - Retrieved tables from the warehouse.
2026-07-23 10:52:37 | INFO | BI |  - tables has a tuple for each table in the warehouse
2026-07-23 10:52:37 | INFO | BI |  - the first tuple element (at the 0 index) is the table name
2026-07-23 10:52:37 | INFO | BI |   Tables in warehouse: ['dim_campaigns', 'dim_customers', 'dim_products', 'dim_stores', 'fact_sales']
2026-07-23 10:52:37 | INFO | BI | Workflow 1-CREATE DW complete
2026-07-23 10:52:37 | INFO | BI | ========================
2026-07-23 10:52:37 | INFO | BI | Executed successfully!
2026-07-23 10:52:37 | INFO | BI | ========================
2026-07-23 11:41:56 | INFO | BI | === RUN START ===
2026-07-23 11:41:56 | INFO | BI | project=BI
2026-07-23 11:41:56 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-23 11:41:56 | INFO | BI | python=3.14.6
2026-07-23 11:41:56 | INFO | BI | os=Windows 10
2026-07-23 11:41:56 | INFO | BI | shell=powershell
2026-07-23 11:41:56 | INFO | BI | cwd=.
2026-07-23 11:41:56 | INFO | BI | github_actions=False
2026-07-23 11:41:56 | INFO | BI | ========================
2026-07-23 11:41:56 | INFO | BI | START main()
2026-07-23 11:41:56 | INFO | BI | ========================
2026-07-23 11:41:56 | INFO | BI | Data warehouse: = artifacts\smart_sales.duckdb
2026-07-23 11:41:56 | INFO | BI | Create the artifacts/ folder if it does not exist
2026-07-23 11:41:56 | INFO | BI | Connect to DuckDB - creates the file if it does not exist
2026-07-23 11:41:56 | INFO | BI | Connecting to DuckDB data warehouse........
2026-07-23 11:41:56 | INFO | BI | Created conn: a DuckDB connection object
2026-07-23 11:41:56 | INFO | BI | CALL a function to delete tables in reverse order of creation
2026-07-23 11:41:56 | INFO | BI | START delete tables....
2026-07-23 11:41:56 | INFO | BI | - Dropping fact_sales table if it exists
2026-07-23 11:41:56 | INFO | BI | - Dropping dim_campaigns table if it exists
2026-07-23 11:41:56 | INFO | BI | - Dropping dim_stores table if it exists
2026-07-23 11:41:56 | INFO | BI | - Dropping dim_products table if it exists
2026-07-23 11:41:56 | INFO | BI | - Dropping dim_customers table if it exists
2026-07-23 11:41:56 | INFO | BI |   All tables deleted.
2026-07-23 11:41:56 | INFO | BI | CALL a function to create dim_customers........
2026-07-23 11:41:56 | INFO | BI | PASS IN conn: the DuckDB connection object
2026-07-23 11:41:56 | INFO | BI | START create dim_customers
2026-07-23 11:41:56 | INFO | BI | dim_customers created.
2026-07-23 11:41:56 | INFO | BI | CALL a function to create dim_products........
2026-07-23 11:41:56 | INFO | BI | PASS IN conn: the DuckDB connection object
2026-07-23 11:41:56 | INFO | BI | START create dim_products
2026-07-23 11:41:56 | INFO | BI | dim_products created.
2026-07-23 11:41:56 | INFO | BI | CALL a function to create dim_stores........
2026-07-23 11:41:56 | INFO | BI | PASS IN conn: the DuckDB connection object
2026-07-23 11:41:56 | INFO | BI | START create dim_stores
2026-07-23 11:41:56 | INFO | BI | Drop existing dim_stores table.
2026-07-23 11:41:56 | INFO | BI | Create dim_stores table.
2026-07-23 11:41:56 | INFO | BI | dim_stores created.
2026-07-23 11:41:56 | INFO | BI | CALL a function to create dim_campaigns........
2026-07-23 11:41:56 | INFO | BI | PASS IN conn: the DuckDB connection object
2026-07-23 11:41:56 | INFO | BI | START create dim_campaigns
